model,scope,perturbation,level,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,delta_NSE,relative_delta_NSE_pct,relative_delta_RMSE_pct
fdmlp,todas,faltantes,0.05,24,0.08665749621356768,0.021673658514949307,0.7608344558892579,0.8725171568027291,0.0030310390468975892,435408,8.81809938975131e-05,0.01159138030740174,-0.01843004126782554
fdmlp,todas,faltantes,0.05,48,0.10240836443380634,0.027051410152688846,0.6438246511277106,0.8026900304939447,0.003279600224691292,870816,-0.00024981554857128607,-0.03878674928078554,0.03508763852062031
fdmlp,todas,faltantes,0.1,12,0.06420695539766612,0.017974981869848663,0.8758160313465916,0.9359088780791389,0.0018901404550356257,217704,0.0010046221250606946,0.11483870860288373,-0.402051711350037
fdmlp,todas,faltantes,0.1,24,0.08638275065372643,0.021672710892071508,0.7623485893154921,0.8733746781706018,0.0029562923224635777,435408,0.0016023144201317008,0.210624024462308,-0.33541926450155807
fdmlp,todas,faltantes,0.1,48,0.1021920964007689,0.02702253408840998,0.6453274191191637,0.8036118282110074,0.003192510303955513,870816,0.0012529524428818162,0.19453533833558448,-0.1761684610950956
fdmlp,todas,faltantes,0.2,12,0.06528686243812287,0.018152839922135042,0.8716035616555229,0.9336450072216075,0.0017219233525316779,217704,-0.003207847566008004,-0.366690183986349,1.27310209256122
fdmlp,todas,faltantes,0.2,24,0.08702168283624216,0.02182953529513565,0.7588199985000744,0.8713688646897264,0.0027815984084361227,435408,-0.0019262763952859752,-0.25320878443353956,0.40175230744931184
fdmlp,todas,faltantes,0.2,48,0.10256297344571441,0.02711631990072909,0.6427483818617594,0.8020124257909784,0.0029889936098349526,870816,-0.0013260848145224546,-0.20588998371037084,0.1861136425139367
fdmlp,todas,ruido,0.1,12,0.06537429422911446,0.019197225476278886,0.87125943583931,0.9335177973810144,0.002548286857391128,217704,-0.0035519733822209076,-0.40602732712204853,1.408726448895067
fdmlp,todas,ruido,0.1,24,0.0872209639484388,0.022616581556935612,0.7577141212181907,0.8708224751819849,0.0036104919816148423,435408,-0.003032153677169691,-0.3985762109169394,0.6316740029877812
fdmlp,todas,ruido,0.1,48,0.10266889712450473,0.027741329795222282,0.6420100852805077,0.8016524133777345,0.003853483040805448,870816,-0.0020643813957741397,-0.3205190552619311,0.28958257837057266
fdmlp,todas,ruido,0.5,12,0.08648626261878833,0.04146786718045799,0.7746821277077168,0.8878508641629048,0.01749219257334999,217704,-0.10012928151381406,-11.445813401418276,34.157650968415
fdmlp,todas,ruido,0.5,24,0.1015065488096516,0.04200677881358075,0.6718484477977261,0.8290396323085658,0.018367563858081627,435408,-0.08889782709763427,-11.685607939370067,17.113747275480154
fdmlp,todas,ruido,0.5,48,0.11226572696523707,0.044397648572174694,0.5719570148985786,0.7653751458105079,0.018288914488424058,870816,-0.07211745177770323,-11.197067343759517,9.664009359594642
fdmlp,todas,ruido,1.0,12,0.15242832778661053,0.09633346710966804,0.3001052243235608,0.727469094461376,0.05831601111083439,217704,-0.5747061848979701,-65.69486621229419,136.4471047504
fdmlp,todas,ruido,1.0,24,0.15273023537150068,0.09136197879124827,0.257089698223808,0.6812593680202257,0.05786669852547727,435408,-0.5036565766715524,-66.20559223123763,76.21336156511894
fdmlp,todas,ruido,1.0,48,0.14989708599012427,0.08683996967264876,0.23690364579923462,0.6318583896925004,0.054539886424188305,870816,-0.40717082087704726,-63.21797275682026,46.42327525378296
gnn,auxiliares,faltantes,0.05,12,0.06410500130320793,0.01687626883080427,0.8762101011713613,0.9362409986718673,-0.0018542871189338788,217704,-5.42853744445182e-06,-0.0006195436237310122,0.0021927136401441428
gnn,auxiliares,faltantes,0.05,24,0.08662928069446262,0.02034758374952358,0.7609901742443116,0.8723704204589808,-0.000730255860821041,435408,-3.870200374367361e-05,-0.005085484263682367,0.00809730403619066
gnn,auxiliares,faltantes,0.05,48,0.1029254432533758,0.025959274472140866,0.6402187799461088,0.8001488011464745,-6.139525023341483e-05,870816,-3.3342249477485986e-05,-0.005207674964535376,0.004634006065274828
gnn,auxiliares,faltantes,0.1,12,0.06410308634828409,0.016873214177238534,0.8762174968044895,0.9362429651749948,-0.001827265011904284,217704,1.9670956836748132e-06,0.00022449906638022515,-0.0007945679671991399
gnn,auxiliares,faltantes,0.1,24,0.0866292490703559,0.020351854657577797,0.760990348745838,0.8723695846520626,-0.0007008194137241475,435408,-3.8527502217222676e-05,-0.005062554578371181,0.008060795978904797
